operand 1 | operand 2 | operation
194|189|/
118|166|-
122|185|/
173|182|/
158|167|+
126|162|/
170|112|/
111|129|+
133|134|/
131|110|/
139|147|/
189|178|-
192|127|/
178|172|*
106|123|+
125|134|-
195|182|*
164|146|/
100|125|-
117|161|*
111|146|+
194|164|*
141|120|*
163|185|-
193|141|+
168|113|-
184|145|-
159|197|/
140|171|-
163|120|/
172|131|-
173|148|/
170|100|*
190|136|*
163|169|/
153|147|*
143|164|*
107|191|+
184|198|/
119|167|+
189|127|/
130|162|/
157|163|/
163|155|-
145|196|+
112|180|/
117|109|*
135|159|*
172|136|-
111|164|-
191|193|-
128|161|+
144|129|+
140|128|+
107|165|*
182|139|/
134|180|+
160|167|-
150|197|/
151|188|/
144|167|-
179|184|-
151|150|-
145|125|*
164|197|-
176|146|/
177|175|/
196|159|+
116|132|-
152|135|*
114|194|-
128|169|-
188|115|-
113|108|+
148|173|+
197|103|+
140|179|/
154|123|*
180|135|/
116|163|/
196|101|/
174|164|*
124|119|+
171|173|+
163|177|*
139|156|+
161|119|/
164|117|+
154|168|+
180|196|+
136|129|+
128|140|/
119|195|+
191|101|/
199|161|+
197|126|/
131|119|*
155|167|/
143|114|*
118|148|-

